INS348,GOBERNABILIDAD DE TECNOLOGIA DE LA INFORMACION,4,SIS
SIS305,PROYECTO DE GRADO,4,SIS
INS342,TECNOLOGIAS DE INFORMACION EMERGENTE,4,SIS
INS389,ADMINISTRACION ESTRATEGICA DE TIC,4,SIS
SIS306,PROYECTO FINAL DE GRADO,4,SIS
IDS207,INTRODUCCION A LA INGENIERIA DE SOFTWARE,2,IDS
IDS323,TECNICAS FUNDAMENTALES DE INGENIERIA DE SOFTWARE,4,IDS
IDS323L,LABORATORIO TECNICAS FUNDAMENTALES DE INGENIERIA DE SOFTWARE,1,IDS
IDS342,CONSEJERIA PROFESIONAL INGENIERIA DE SOFTWARE I,0,IDS
IDS208,TEAM BUILDING,4,IDS
IDS311,PROCESO DE SOFTWARE,4,IDS
CBM305,MATEMATICA DISCRETA I,4,IDS
IDS329,INGENIERIA DE FACTORES HUMANOS,4,IDS
IDS329L,LABORATORIO INGENIERIA DE FACTORES HUMANOS,1,IDS
IDS346,MODELOS Y METODOS DE LA INGENIERIA DE SOFTWARE,3,IDS
IDS325,ASEGURAMIENTO DE LA CALIDAD DEL SOFTWARE,4,IDS
IDS325L,LABORATORIO ASEGURAMIENTO DE LA CALIDAD DEL SOFTWARE,1,IDS
IDS335,DISE—O DE SOFTWARE,4,IDS
IDS303,PRACTICA PROFESIONAL DE INGENIERIA DE SOFTWARE,2,IDS
IDS309,ARQUITECTURA DE SOFTWARE,4,IDS
IDS348,DESARROLLO DE APLICACIONES WEB,3,IDS
IDS348L,LABORATORIO DESARROLLO DE APLICACIONES WEB,1,IDS
IDS326,CONSTRUCCION DE SOFTWARE,4,IDS
IDS326L,LABORATORIO CONSTRUCCION DE SOFTWARE,1,IDS
IDS349,DESARROLLO DE APLICACIONES MOBILES,3,IDS
IDS349L,LABORATORIO DESARROLLO DE APLICACIONES MOBILES,1,IDS
IDS328,ADMINISTRACION DE CONFIGURACION,4,IDS
IDS328L,LABORATORIO DE ADMINISTRACION DE CONFIGURACION,1,IDS
IDS330,INTELIGENCIA ARTIFICIAL,3,IDS
IDS330L,LABORATORIO INTELIGENCIA ARTIFICIAL,1,IDS
IDS350,CONSEJERIA PROFESIONAL INGENIERIA DE SOFTWARE II,0,IDS
IDS351,PRUEBAS DE SOFTWARE,2,IDS
IDS352,ANTEPROYECTO DE GRADO,4,IDS
IDS353,PASANTIA PROFESIONAL I,2,IDS
IDS354,GESTION DE LA INGENIERIA DE SOFTWARE,3,IDS
IDS322,MANTENIMIENTO DE SOFTWARE,4,IDS
IDS355,PROYECTO DE GRADO,4,IDS
IDS356,PASANTIA PROFESIONAL II,2,IDS
IDS3X5,CERTIFICACION PROFESIONAL,0,IDS
IDS334,SEMINARIO DE TECNOLOGIA E INGENIERIA DE SOFTWARE,4,IDS
IDS357,PROYECTO FINAL DE GRADO,4,IDS
